fichier,type_page1,faisabilite,detail
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/DG_A_ZONAGE.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (10.0pt vs médiane 6.0pt) détecté en haut de page (candidat: 'S') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=973, image_area_ratio=0.00, n_outliers_top=123"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/DG_E_HAUTEUR.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (10.0pt vs médiane 6.0pt) détecté en haut de page (candidat: 'S') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=938, image_area_ratio=0.00, n_outliers_top=117"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/DG_L_BOIS_VINCENNES.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (17.8pt vs médiane 6.0pt) détecté en haut de page (candidat: 'A - Plan de zonage - Bois de Vincennes') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=473, image_area_ratio=0.00, n_outliers_top=39"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/DG_M_BOIS_BOULOGNE.pdf,linéaire (texte courant),"OUI — pas de contrainte de mise en page particulière, méthode gap-Y applicable","n_spans=320, max_size=25.9, median_size=6.0"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Equilibre destinations/DG_B_DEST_NE.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'André') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=18042, image_area_ratio=0.00, n_outliers_top=429"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Equilibre destinations/DG_B_DEST_NO.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'Rebière') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=12945, image_area_ratio=0.00, n_outliers_top=411"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Equilibre destinations/DG_B_DEST_SE.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'Rue') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=15315, image_area_ratio=0.00, n_outliers_top=515"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Equilibre destinations/DG_B_DEST_SO.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'François') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=13220, image_area_ratio=0.00, n_outliers_top=542"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Fuseaux protection/DG_F_FUSEAU_NE.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (18.0pt vs médiane 8.4pt) détecté en haut de page (candidat: 'D') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=161, image_area_ratio=1.00, n_outliers_top=4"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Fuseaux protection/DG_F_FUSEAU_NO.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (18.0pt vs médiane 8.4pt) détecté en haut de page (candidat: 'G') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=129, image_area_ratio=1.00, n_outliers_top=4"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Fuseaux protection/DG_F_FUSEAU_SE.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (18.0pt vs médiane 8.4pt) détecté en haut de page (candidat: 'S') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=109, image_area_ratio=1.00, n_outliers_top=10"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Fuseaux protection/DG_F_FUSEAU_SO.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (18.0pt vs médiane 8.4pt) détecté en haut de page (candidat: 'H') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=109, image_area_ratio=1.00, n_outliers_top=18"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Limitation parc stationnement/DG_I_PARCSTAT_NE.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'André') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=18042, image_area_ratio=0.00, n_outliers_top=426"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Limitation parc stationnement/DG_I_PARCSTAT_NO.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'Rebière') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=12944, image_area_ratio=0.00, n_outliers_top=410"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Limitation parc stationnement/DG_I_PARCSTAT_SE.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'Rue') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=15313, image_area_ratio=0.00, n_outliers_top=516"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Limitation parc stationnement/DG_I_PARCSTAT_SO.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'François') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=13218, image_area_ratio=0.00, n_outliers_top=542"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Mixité sociale/DG_D_LOGSOC_NE.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'André') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=18038, image_area_ratio=0.00, n_outliers_top=425"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Mixité sociale/DG_D_LOGSOC_NO.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'Rebière') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=12943, image_area_ratio=0.00, n_outliers_top=409"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Mixité sociale/DG_D_LOGSOC_SE.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'Rue') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=15311, image_area_ratio=0.00, n_outliers_top=514"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Mixité sociale/DG_D_LOGSOC_SO.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'François') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=13216, image_area_ratio=0.00, n_outliers_top=542"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Protections commerces/DG_C_PROTCOM_NE.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'André') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=18044, image_area_ratio=0.00, n_outliers_top=431"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Protections commerces/DG_C_PROTCOM_NO.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'Rebière') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=12948, image_area_ratio=0.00, n_outliers_top=414"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Protections commerces/DG_C_PROTCOM_SE.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'Rue') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=15317, image_area_ratio=0.00, n_outliers_top=515"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Protections commerces/DG_C_PROTCOM_SO.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'François') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=13222, image_area_ratio=0.00, n_outliers_top=542"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Renforcement végétal/DG_G_RENFVEG_NE.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'André') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=18043, image_area_ratio=0.00, n_outliers_top=430"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Renforcement végétal/DG_G_RENFVEG_NO.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'Rebière') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=12949, image_area_ratio=0.00, n_outliers_top=415"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Renforcement végétal/DG_G_RENFVEG_SE.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'Rue') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=15320, image_area_ratio=0.00, n_outliers_top=515"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Renforcement végétal/DG_G_RENFVEG_SO.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'François') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=13223, image_area_ratio=0.00, n_outliers_top=542"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Secteurs risques/DG_J_RISQUE.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (10.0pt vs médiane 6.0pt) détecté en haut de page (candidat: 'S') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=956, image_area_ratio=0.00, n_outliers_top=126"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Secteurs risques/DG_K_SOURCENORD.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (24.0pt vs médiane 13.0pt) détecté en haut de page (candidat: 'K - SOURCES DU NORD') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=29, image_area_ratio=1.00, n_outliers_top=1"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/A_08.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (13.9pt vs médiane 4.3pt) détecté en haut de page (candidat: 'Feuille A-08') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=451, image_area_ratio=0.00, n_outliers_top=6"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/A_09.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (19.9pt vs médiane 4.3pt) détecté en haut de page (candidat: 'Roland Garros') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1067, image_area_ratio=0.00, n_outliers_top=19"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/A_10.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (12.0pt vs médiane 4.3pt) détecté en haut de page (candidat: 'SMV 16-35') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=836, image_area_ratio=0.00, n_outliers_top=18"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/B_05.pdf,"sommaire / table des matières (linéaire, dense)",OUI — méthode d'ancrage titre validée (études REG1/REG2 de cette session),n_spans=207
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/B_06.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (9.8pt vs médiane 4.3pt) détecté en haut de page (candidat: 'LS 100-60') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=723, image_area_ratio=0.00, n_outliers_top=10"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/B_07.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (12.0pt vs médiane 4.3pt) détecté en haut de page (candidat: 'SMV 16-17') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1287, image_area_ratio=0.00, n_outliers_top=11"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/B_08.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (12.0pt vs médiane 4.3pt) détecté en haut de page (candidat: 'SMV 16-26') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=2056, image_area_ratio=0.00, n_outliers_top=12"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/B_09.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (9.8pt vs médiane 4.3pt) détecté en haut de page (candidat: 'LS 60-30') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1465, image_area_ratio=0.00, n_outliers_top=11"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/B_10.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (12.0pt vs médiane 4.3pt) détecté en haut de page (candidat: 'SMV 16-35') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1015, image_area_ratio=0.00, n_outliers_top=12"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/B_11.pdf,"sommaire / table des matières (linéaire, dense)",OUI — méthode d'ancrage titre validée (études REG1/REG2 de cette session),n_spans=260
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/C_03.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (21.8pt vs médiane 4.3pt) détecté en haut de page (candidat: 'Levallois-Perret') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=531, image_area_ratio=0.00, n_outliers_top=5"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/C_04.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (13.9pt vs médiane 4.3pt) détecté en haut de page (candidat: 'Ternes - Maillot') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=930, image_area_ratio=0.00, n_outliers_top=10"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/C_05.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (12.0pt vs médiane 4.3pt) détecté en haut de page (candidat: 'SMV 16-8') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1465, image_area_ratio=0.00, n_outliers_top=11"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/C_06_A_251216.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (12.0pt vs médiane 4.3pt) détecté en haut de page (candidat: 'SMV 16-9') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1762, image_area_ratio=0.00, n_outliers_top=15"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/C_07.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (12.0pt vs médiane 4.3pt) détecté en haut de page (candidat: 'SMV 16-17') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1816, image_area_ratio=0.00, n_outliers_top=13"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/C_08_A_251216.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (12.0pt vs médiane 4.3pt) détecté en haut de page (candidat: 'SMV 16-26') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1289, image_area_ratio=0.00, n_outliers_top=10"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/C_09_A_251216.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (9.8pt vs médiane 4.3pt) détecté en haut de page (candidat: ' 54,5m ') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1976, image_area_ratio=0.00, n_outliers_top=17"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/C_10.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (9.8pt vs médiane 4.3pt) détecté en haut de page (candidat: 'LS 100-100') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1479, image_area_ratio=0.00, n_outliers_top=11"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/C_11.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (13.9pt vs médiane 4.3pt) détecté en haut de page (candidat: 'Petite Ceinture') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=462, image_area_ratio=0.00, n_outliers_top=11"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/Consultation_des_planches_au_1_sur_2000.pdf,linéaire (texte courant),"OUI — pas de contrainte de mise en page particulière, méthode gap-Y applicable","n_spans=91, max_size=11.0, median_size=11.0"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/D_02.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (21.8pt vs médiane 4.3pt) détecté en haut de page (candidat: 'Clichy') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=446, image_area_ratio=0.00, n_outliers_top=5"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/D_03_A_251216.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (13.9pt vs médiane 4.3pt) détecté en haut de page (candidat: 'Petite    Ceintu') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1740, image_area_ratio=0.00, n_outliers_top=12"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/D_04.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (9.8pt vs médiane 4.3pt) détecté en haut de page (candidat: 'LS 100-100') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1948, image_area_ratio=0.00, n_outliers_top=15"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/D_05_A_251216.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (9.8pt vs médiane 4.3pt) détecté en haut de page (candidat: 'LS 35-35') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1551, image_area_ratio=0.00, n_outliers_top=14"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/D_06_A_251216.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (9.8pt vs médiane 4.3pt) détecté en haut de page (candidat: 'LS 100-100') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1208, image_area_ratio=0.00, n_outliers_top=14"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/D_07.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (9.8pt vs médiane 4.3pt) détecté en haut de page (candidat: 'LS 100-100') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=877, image_area_ratio=0.00, n_outliers_top=8"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/D_08_A_251216.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (9.8pt vs médiane 4.3pt) détecté en haut de page (candidat: 'LS 30-30') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1822, image_area_ratio=0.00, n_outliers_top=10"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/D_09_A_251216.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (7.9pt vs médiane 4.3pt) détecté en haut de page (candidat: 'R') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1996, image_area_ratio=0.00, n_outliers_top=16"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/D_10_A_251216.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (9.8pt vs médiane 4.3pt) détecté en haut de page (candidat: 'LS 100-100') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=2158, image_area_ratio=0.00, n_outliers_top=14"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/D_11_A_251216.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (13.9pt vs médiane 4.3pt) détecté en haut de page (candidat: 'Petite Ceinture') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1299, image_area_ratio=0.00, n_outliers_top=19"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/D_12.pdf,"sommaire / table des matières (linéaire, dense)",OUI — méthode d'ancrage titre validée (études REG1/REG2 de cette session),n_spans=272
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/E_01.pdf,"sommaire / table des matières (linéaire, dense)",OUI — méthode d'ancrage titre validée (études REG1/REG2 de cette session),n_spans=279
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/E_02.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (11.5pt vs médiane 4.3pt) détecté en haut de page (candidat: 'Ceinture') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1279, image_area_ratio=0.00, n_outliers_top=12"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/E_03_A_251216.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (13.9pt vs médiane 4.3pt) détecté en haut de page (candidat: 'Clichy - Batignolles') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=2069, image_area_ratio=0.00, n_outliers_top=13"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/E_04.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (9.8pt vs médiane 4.3pt) détecté en haut de page (candidat: 'LS 100-100') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1586, image_area_ratio=0.00, n_outliers_top=18"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/E_05_A_251216.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (12.0pt vs médiane 4.3pt) détecté en haut de page (candidat: 'SMV 8-3') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1476, image_area_ratio=0.00, n_outliers_top=18"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/E_06_A_251216.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (9.8pt vs médiane 4.3pt) détecté en haut de page (candidat: 'LS 100-60') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=827, image_area_ratio=0.00, n_outliers_top=10"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/E_07.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (12.0pt vs médiane 4.3pt) détecté en haut de page (candidat: 'SMV 7-1') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1559, image_area_ratio=0.00, n_outliers_top=13"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/E_08.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (9.8pt vs médiane 4.3pt) détecté en haut de page (candidat: 'LS 100-60') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1001, image_area_ratio=0.00, n_outliers_top=7"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/E_09.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (9.8pt vs médiane 4.3pt) détecté en haut de page (candidat: 'LS 35-35') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1693, image_area_ratio=0.00, n_outliers_top=8"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/E_10_A_251216.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (9.8pt vs médiane 4.3pt) détecté en haut de page (candidat: 'LS 30-30') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=1953, image_area_ratio=0.00, n_outliers_top=17"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 2/E_11_A_251216.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (12.0pt vs médiane 4.3pt) détecté en haut de page (candidat: 'SMV') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=2199, image_area_ratio=0.00, n_outliers_top=21"
